Site Name: CHESTER
Location: Chester Muni, MA
Latitude [N]: 42.28972
Longitude [W]: 72.99786
Time Zone [hrs from GMT]: -5
Elevation [m]: 0
Time Step of Data [seconds]: 600
Logger Sample Interval [seconds]: 2
Report Time Period: 01/01/2007 to 07/01/2007 10:50:00
Data Collection By: RERL @ Univ. of Massachusetts
Report Generated: 07/14/2007 22:40:34
Comments: 

Sensors: Sensor Name, Type, Designation, Height Above Ground [m],Measurement Units
Sensor #1: Etmp2DEGC,External Temperature,Primary,2,Units
Sensor #2: EtmpSD2DEGC,External Temperature Standard Deviation,Primary,2,Units
Sensor #3: Anem39aMS,Anemometer,Primary,39,m/s
Sensor #4: AnemSD39aMS,Anemometer Standard Deviation,Primary,39,m/s
Sensor #5: Anem39bMS,Anemometer,Secondary,39,m/s
Sensor #6: AnemSD39bMS,Anemometer Standard Deviation,Secondary,39,m/s
Sensor #7: Anem30aMS,Anemometer,Primary,30,m/s
Sensor #8: AnemSD30aMS,Anemometer Standard Deviation,Primary,30,m/s
Sensor #9: Anem30bMS,Anemometer,Secondary,30,m/s
Sensor #10: AnemSD30bMS,Anemometer Standard Deviation,Secondary,30,m/s
Sensor #11: Anem25MS,Anemometer,Primary,25,Units
Sensor #12: AnemSD25MS,Anemometer Standard Deviation,Primary,25,Units
Sensor #13: Vane39DEG,Wind Direction Vane,Primary,39,Units
Sensor #14: VaneSD39DEG,Wind Direction Vane Standard Deviation,Primary,39,Units
Sensor #15: Vane30DEG,Wind Direction Vane,Primary,30,Units
Sensor #16: VaneSD30DEG,Wind Direction Vane Standard Deviation,Primary,30,Units
Sensor #17: Vane25DEG,Wind Direction Vane,Primary,25,Units
Sensor #18: VaneSD25DEG,Wind Direction Vane Standard Deviation,Primary,25,Units
Sensor #19: Anem39yMS,Anemometer,Consolidated data (larger value selected),39,m/s
Sensor #20: Anem30yMS,Anemometer,Consolidated data (larger value selected),30,m/s

Applied Validation Filter Code, Filter Name
-988, Dissimilar sensors
-989, Out of Range
-991, Icing or wet snow event
-999, Missing Data

***
Day-Month-Year Hour:Minute,Etmp2DEGC,EtmpSD2DEGC,Anem39aMS,AnemSD39aMS,Anem39bMS,AnemSD39bMS,Anem30aMS,AnemSD30aMS,Anem30bMS,AnemSD30bMS,Anem25MS,AnemSD25MS,Vane39DEG,VaneSD39DEG,Vane30DEG,VaneSD30DEG,Vane25DEG,VaneSD25DEG,Anem39yMS,Anem30yMS

2007-01-01, 00:00,-1,0,4,0.4,4,0.4,3.6,0.5,3.4,0.6,3.2,0.6,151.7,5.9,146.9,7.9,143.7,11.7,4,3.6
2007-01-01, 00:10,-1.2,0,3.7,0.5,3.7,0.6,3.1,0.6,2.9,0.7,2.8,0.6,145.6,9.4,142.9,10.3,140.2,12.2,3.7,3.1
2007-01-01, 00:20,-1.4,0,-991,-991,-991,-991,2.9,0.6,2.6,0.7,2.6,0.6,-991,-991,146.3,9,142.5,11.2,3.4,2.9
2007-01-01, 00:30,-1.4,0,-991,-991,-991,-991,3.3,0.4,3,0.4,2.9,0.5,-991,-991,144.1,7,140.3,7.9,3.5,3.3
2007-01-01, 00:40,-1.4,0,-991,-991,-991,-991,3.3,0.6,3,0.6,2.9,0.5,-991,-991,144.2,9,139,12.2,3.6,3.3
2007-01-01, 00:50,-1.4,0,-991,-991,-991,-991,3.6,0.6,3.3,0.6,3.1,0.7,-991,-991,144.4,8.7,140.8,13.9,4.2,3.6
2007-01-01, 01:00,-1.6,0,-991,-991,-991,-991,4.2,0.5,4,0.5,3.8,0.5,-991,-991,147.8,11.2,143,11.7,4.6,4.2
2007-01-01, 01:10,-1.6,0,-991,-991,-991,-991,4.2,0.6,4,0.6,3.8,0.7,-991,-991,145.3,10.3,142.6,11.2,4.5,4.2
2007-01-01, 01:20,-1.4,0,-991,-991,-991,-991,4.3,0.6,4.2,0.5,3.9,0.6,-991,-991,149.8,9.9,145.5,10.8,4.7,4.3
2007-01-01, 01:30,-1.3,0,-991,-991,-991,-991,3.9,0.7,3.7,0.7,3.5,0.7,-991,-991,139.5,10.3,135.1,11.2,4.3,3.9
2007-01-01, 01:40,-1.3,0,-991,-991,-991,-991,4,0.5,3.7,0.6,3.6,0.5,-991,-991,140.3,9.9,136.9,11.7,4.4,4
2007-01-01, 01:50,-1.3,0,-991,-991,-991,-991,4.4,0.5,4.2,0.6,3.9,0.6,-991,-991,147.8,8.7,144.2,9,4.8,4.4
2007-01-01, 02:00,-1.2,0,-991,-991,-991,-991,4.5,0.9,4.2,1,4.1,0.9,-991,-991,143.5,7.9,141.1,9.9,5,4.5
2007-01-01, 02:10,-1.2,0,-991,-991,-991,-991,4,0.7,3.8,0.7,3.5,0.7,-991,-991,137.4,9,134.9,10.3,4.5,4
2007-01-01, 02:20,-1.1,0,-991,-991,-991,-991,3.5,0.5,3.4,0.6,3,0.6,-991,-991,130.7,9,129.2,9.9,4.1,3.5
2007-01-01, 02:30,-0.9,0,-991,-991,-991,-991,3.7,0.6,3.5,0.6,3.3,0.6,-991,-991,136.8,7.9,136.4,11.7,4.3,3.7
2007-01-01, 02:40,-0.9,0,-991,-991,-991,-991,3.9,0.8,3.8,0.8,3.5,0.7,-991,-991,138.5,12.2,137.9,13.4,4.6,3.9
2007-01-01, 02:50,-0.9,0,-991,-991,-991,-991,3.7,0.7,3.5,0.7,3.4,0.8,-991,-991,136.8,11.2,134.1,12.2,4.2,3.7
2007-01-01, 03:00,-0.8,0,-991,-991,-991,-991,3.8,0.7,3.6,0.7,3.4,0.7,-991,-991,131.5,11.7,129,14.6,4.4,3.8
2007-01-01, 03:10,-0.9,0,-991,-991,-991,-991,4.3,0.6,4.3,0.6,4,0.7,-991,-991,130.9,9.4,130.8,12.8,5,4.3
2007-01-01, 03:20,-0.7,0,-991,-991,-991,-991,4.3,0.7,4.4,0.7,4,0.7,-991,-991,134.2,8.7,133.3,10.8,5,4.4
2007-01-01, 03:30,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,5,4.3
2007-01-01, 03:40,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,4.4,3.9
2007-01-01, 03:50,-0.5,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,4.5,3.9
2007-01-01, 04:00,-0.5,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.9
2007-01-01, 04:10,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.5,3
2007-01-01, 04:20,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.9
2007-01-01, 04:30,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.5,2.9
2007-01-01, 04:40,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.8
2007-01-01, 04:50,-0.4,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.4,3
2007-01-01, 05:00,-0.3,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.8
2007-01-01, 05:10,-0.3,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.8,2.5
2007-01-01, 05:20,-0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.2,2.1
2007-01-01, 05:30,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.7,0.9
2007-01-01, 05:40,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.8,0.4
2007-01-01, 05:50,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3,0.4
2007-01-01, 06:00,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,0.4
2007-01-01, 06:10,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.6,0.4
2007-01-01, 06:20,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.8,0.4
2007-01-01, 06:30,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.7,0.4
2007-01-01, 06:40,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,1.7,0.4
2007-01-01, 06:50,0,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:00,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:10,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:20,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:30,0,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:40,0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:50,0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 08:00,0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 08:10,0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 08:20,0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 08:30,0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 08:40,0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 08:50,0.5,0.1,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 09:00,0.8,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 09:10,0.5,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 09:20,0.5,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 09:30,0.7,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 09:40,0.3,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 09:50,0.4,0.1,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 10:00,0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0,-991,-991,-991,-991,126.8,2.8,0.4,0.5
2007-01-01, 10:10,1.2,0.3,-991,-991,-991,-991,-991,-991,-991,-991,0.6,0.7,-991,-991,-991,-991,119.2,4,1.4,1
2007-01-01, 10:20,1.4,0,3.7,0.7,3.8,0.6,-991,-991,-991,-991,2.7,0.5,135.3,3.3,-991,-991,103.4,12.8,3.8,3.1
2007-01-01, 10:30,1.3,0,3.5,0.4,3.6,0.3,3,0.3,2.9,0.4,2.6,0.3,117.7,6.7,104.4,9.4,98,9.9,3.6,3
2007-01-01, 10:40,1.3,0,3.2,0.5,3.3,0.5,2.9,0.4,2.8,0.4,2.5,0.4,107.5,10.8,99.5,11.7,93.5,15.2,3.3,2.9
2007-01-01, 10:50,1.5,0.1,2.9,0.4,3,0.4,2.6,0.4,2.4,0.4,2.4,0.4,105.6,11.7,97.1,12.2,88.9,13.4,3,2.6
2007-01-01, 11:00,1.8,0,2.6,0.5,2.8,0.4,2.4,0.5,2.2,0.5,2.2,0.4,96.3,7.6,83.9,9,77,9,2.8,2.4
2007-01-01, 11:10,1.9,0,2.6,0.5,2.8,0.5,2.3,0.5,2,0.5,2,0.5,95.4,6.4,88.7,8.3,85.4,10.8,2.8,2.3
2007-01-01, 11:20,1.9,0.1,3.2,0.7,3.4,0.6,2.7,0.6,2.5,0.6,2.3,0.6,86.9,7.6,77.8,9,73.1,11.7,3.4,2.7
2007-01-01, 11:30,1.9,0,2.6,0.5,2.8,0.5,2.3,0.6,2,0.6,1.9,0.7,95.2,10.3,86.8,12.8,84,12.8,2.8,2.3
2007-01-01, 11:40,2.2,0,2.8,0.6,2.9,0.5,2.5,0.7,2.3,0.7,2.1,0.7,109.7,7.9,101.9,9.4,97.6,13.4,2.9,2.5
2007-01-01, 11:50,2.3,0,2.9,0.4,3,0.4,2.5,0.4,2.2,0.4,2,0.4,122.7,7,115.9,8.3,114,10.8,3,2.5
2007-01-01, 12:00,2.1,0,2.2,0.5,2.3,0.4,1.9,0.4,1.5,0.6,1.4,0.5,126.7,5.9,123,9.4,123.6,11.2,2.3,1.9
2007-01-01, 12:10,2,0,1.4,0.4,1.6,0.4,1,0.4,0.6,0.4,0.6,0.3,123.3,5.9,115.4,4.9,113.4,7.6,1.6,1
2007-01-01, 12:20,2.2,0,1.3,0.4,1.5,0.4,1,0.4,0.6,0.3,0.7,0.3,118.7,8.3,111.5,9.9,102.1,7.6,1.5,1
2007-01-01, 12:30,2.4,0,1.3,0.4,1.5,0.5,1.2,0.5,0.8,0.5,0.8,0.5,118.4,10.8,107,10.8,102.3,15.9,1.5,1.2
2007-01-01, 12:40,2.4,0,0.8,0.3,0.9,0.3,0.7,0.3,0.4,0,0.4,0.2,126.8,4.5,119.5,4.5,113.2,11.2,0.9,0.7
2007-01-01, 12:50,2.4,0,0.7,0.3,0.8,0.4,0.5,0.2,0.4,0,0.4,0.1,129.2,1,105.3,0,84.2,9.9,0.8,0.5
2007-01-01, 13:00,2.3,0,0.4,0.1,0.4,0,0.4,0,0.4,0,0.4,0,128.7,0,105.3,0,93,0,0.4,0.4
2007-01-01, 13:10,2.4,0,0.4,0,0.4,0,0.4,0.1,0.4,0,0.4,0,128.7,0,105.3,0,94.9,2.5,0.4,0.4
2007-01-01, 13:20,2.4,0,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,128.7,0,105.3,0,98.2,1.2,0.4,0.4
2007-01-01, 13:30,2.8,0,0.4,0.1,0.4,0,0.5,0.2,0.4,0,0.5,0.2,101.2,18.1,76.6,20.6,59.1,18.9,0.4,0.5
2007-01-01, 13:40,2.9,0,0.4,0,0.4,0,0.4,0.1,0.4,0,0.4,0.2,89.5,0,55.1,0,32.9,0,0.4,0.4
2007-01-01, 13:50,2.8,0.2,0.5,0.2,0.4,0.2,0.6,0.3,0.4,0.2,0.8,0.4,13.9,51.2,20.8,26.7,9.1,15.9,0.5,0.6
2007-01-01, 14:00,3.2,0.1,0.4,0.1,0.4,0,0.4,0.1,0.4,0,0.5,0.3,328.5,78.9,18.4,20.6,32.4,31.8,0.4,0.4
2007-01-01, 14:10,3.1,0.1,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,90.9,0,62.4,0,100.5,25.6,0.4,0.4
2007-01-01, 14:20,2.8,0,0.4,0.1,0.4,0,0.4,0.2,0.4,0,0.5,0.2,87.2,6.4,62.5,0,111.3,29.1,0.4,0.4
2007-01-01, 14:30,2.6,0.3,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,74.4,0.6,62.6,0,15.2,26.7,0.4,0.4
2007-01-01, 14:40,2.9,0,0.4,0.2,0.4,0.1,0.4,0.1,0.4,0,0.4,0,78.6,7.6,62.1,0,42.1,51.2,0.4,0.4
2007-01-01, 14:50,2.6,0.2,0.4,0.1,0.4,0,0.4,0,0.4,0,0.4,0,0.7,49,14.4,25.6,355.8,55.8,0.4,0.4
2007-01-01, 15:00,2.7,0.2,0.5,0.3,0.4,0.2,0.5,0.3,0.4,0.2,0.5,0.3,350.5,39.5,8.1,25.6,345.8,41.2,0.5,0.5
2007-01-01, 15:10,2.8,0.2,1,0.5,0.9,0.5,1,0.6,0.8,0.5,1,0.6,41,49,34.2,51.2,23.7,55.8,1,1
2007-01-01, 15:20,2.7,0.3,1.7,0.7,1.7,0.8,1.7,0.6,1.7,0.7,1.8,0.5,32.6,39.5,24.8,37.8,28.1,37.8,1.7,1.7
2007-01-01, 15:30,2.6,0.2,1.2,0.5,1,0.6,1.3,0.5,1.2,0.6,1.3,0.7,353.6,41.2,341.9,43,335.9,49,1.2,1.3
2007-01-01, 15:40,2.6,0.3,1,0.9,0.9,0.8,1.2,0.9,1.1,0.9,1.2,0.9,344,5.1,5.1,26.7,11.7,33.2,1,1.2
2007-01-01, 15:50,3,0,0.4,0.1,0.4,0,0.4,0,0.4,0,0.4,0,326,18.9,38,20.6,38,22.5,0.4,0.4
2007-01-01, 16:00,3.2,0.2,0.4,0.1,0.4,0,0.4,0.1,0.4,0,0.4,0.2,358.7,34.6,15.5,1.1,53.6,23.5,0.4,0.4
2007-01-01, 16:10,3.3,0,1.1,0.4,0.9,0.4,0.9,0.4,0.7,0.4,0.7,0.5,4.3,5.4,10.3,7,13.3,12.8,1.1,0.9
2007-01-01, 16:20,3,0.1,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,358.9,0,-989,-989,167.3,29.1,0.4,0.4
2007-01-01, 16:30,2.9,0,0.4,0.2,0.4,0,0.4,0,0.4,0,0.4,0,-989,-989,186.2,49,159.4,15.2,0.4,0.4
2007-01-01, 16:40,2.9,0,0.4,0.1,0.4,0,0.4,0,0.4,0,0.4,0,111.9,0,96.2,17.3,82,29.1,0.4,0.4
2007-01-01, 16:50,3.2,0,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,111.9,0,88.5,0,46.4,15.2,0.4,0.4
2007-01-01, 17:00,3,0,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,111.9,0,87.8,2.2,-989,-989,0.4,0.4
2007-01-01, 17:10,2.8,0,0.7,0.6,0.6,0.5,0.9,0.5,0.7,0.6,0.7,0.5,23.4,86,336.4,55.8,308.6,25.6,0.7,0.9
2007-01-01, 17:20,3.1,0,1.4,0.3,1.2,0.4,1.4,0.4,1.4,0.4,1.4,0.3,289.8,0.2,303.9,8.7,311.8,13.9,1.4,1.4
2007-01-01, 17:30,3.4,0,0.4,0.2,0.4,0,0.5,0.3,0.5,0.3,0.7,0.5,6.5,78.9,32.2,75.6,38.3,60.8,0.4,0.5
2007-01-01, 17:40,3,0.1,0.4,0.1,0.4,0,0.5,0.2,0.5,0.3,0.6,0.5,15,46.9,129.5,63.5,180.7,89.9,0.4,0.5
2007-01-01, 17:50,3.2,0.1,0.6,0.3,0.4,0.1,0.5,0.3,0.4,0.2,0.6,0.3,175.4,26.7,129.2,25.6,121.7,63.5,0.6,0.5
2007-01-01, 18:00,3,0.1,1.7,0.7,1.5,0.7,1.9,0.5,1.8,0.5,1.9,0.4,13.1,39.5,17.5,16.6,16,7.9,1.7,1.9
2007-01-01, 18:10,3.2,0.2,1.4,0.4,1.1,0.6,1.5,0.4,1.3,0.5,1.7,0.4,338,15.2,342.8,14.6,345.4,10.3,1.4,1.5
2007-01-01, 18:20,3.8,0.2,2.5,0.6,2.3,0.6,2.7,0.6,2.6,0.6,2.8,0.5,327.6,6.7,338.2,7,345.4,7.3,2.5,2.7
2007-01-01, 18:30,3.8,0.3,3.5,0.4,3.4,0.4,2.8,0.4,2.8,0.4,2.3,0.5,334.5,4.3,334.1,7.6,338.4,9.9,3.5,2.8
2007-01-01, 18:40,3.6,0.1,3.3,0.3,3.3,0.4,2.3,0.5,2.4,0.5,1.8,0.5,325.2,8.3,322.5,11.2,324.9,13.4,3.3,2.4
2007-01-01, 18:50,3.8,0.1,3,0.8,3,0.8,2.2,0.7,2.3,0.8,1.9,0.8,325.6,16.6,326.3,20.6,326.3,21.5,3,2.3
2007-01-01, 19:00,4,0,3.8,0.8,3.8,0.9,2.8,0.8,2.9,0.8,2.3,0.8,330.3,11.7,325.6,16.6,322.5,20.6,3.8,2.9
2007-01-01, 19:10,3.8,0.2,4.6,1,4.6,1,3.7,1,3.7,1,3.2,1,335.9,13.4,331.8,18.9,330.5,22.5,4.6,3.7
2007-01-01, 19:20,4.5,0.1,5.2,0.9,5.3,0.9,4.3,1,4.3,0.9,3.7,0.9,329.1,14.6,325.6,17.3,327.4,21.5,5.3,4.3
2007-01-01, 19:30,4.7,0.2,5,0.8,5.1,0.9,4.2,0.8,4.2,0.8,3.5,0.8,327.6,11.2,327.1,17.3,329.1,18.1,5.1,4.2
2007-01-01, 19:40,5.4,0.2,4.9,0.9,5,0.9,4.2,1,4.2,1,3.8,1,334.8,11.2,330.5,15.2,331.6,17.3,5,4.2
2007-01-01, 19:50,5.2,0,4.6,0.8,4.7,0.8,3.7,0.9,3.8,0.9,3.2,0.8,322.7,11.2,318.2,16.6,318.8,18.9,4.7,3.8
2007-01-01, 20:00,5.1,0,3.3,0.7,3.3,0.7,2.6,0.7,2.7,0.8,2.2,0.7,326.5,11.2,323.8,14.6,326,16.6,3.3,2.7
2007-01-01, 20:10,5.2,0,3.3,0.8,3.4,0.8,2.9,0.8,2.9,0.8,2.5,0.7,327.6,13.9,325.6,16.6,326.9,19.7,3.4,2.9
2007-01-01, 20:20,5.1,0,4.5,0.7,4.6,0.8,3.9,0.8,3.9,0.9,3.3,0.8,328.9,10.3,323.4,13.4,326,14.6,4.6,3.9
2007-01-01, 20:30,5,0,4.6,0.6,4.8,0.7,3.8,0.7,3.9,0.8,3.4,0.8,323.4,9.4,320.8,13.4,322.3,15.9,4.8,3.9
2007-01-01, 20:40,5.2,0,4.5,1,4.5,1.1,3.8,1,3.8,1,3.3,1,323.6,12.8,317.8,15.2,315.8,16.6,4.5,3.8
2007-01-01, 20:50,5.4,0,4.3,0.8,4.4,0.9,3.6,0.9,3.7,0.9,3.2,0.9,324.1,12.8,320.1,15.2,318.2,18.1,4.4,3.7
2007-01-01, 21:00,5.2,0.1,4.4,1,4.5,1,3.8,1,3.9,1,3.3,1,325.6,16.6,319.9,18.9,324.1,21.5,4.5,3.9
2007-01-01, 21:10,5.3,0,5.6,2.4,5.7,2.4,4.7,2,4.8,2,4.2,1.8,318.4,15.9,316,18.9,317.8,21.5,5.7,4.8
2007-01-01, 21:20,5.3,0.1,6.7,1.8,6.7,1.9,5.8,1.8,5.9,1.8,5.2,1.8,326.7,15.2,319.3,20.6,323.8,22.5,6.7,5.9
2007-01-01, 21:30,4.9,0.1,6.8,2.3,6.8,2.4,5.8,2.4,5.9,2.4,5.2,2.3,324.1,18.9,317.1,22.5,316.7,25.6,6.8,5.9
2007-01-01, 21:40,4.6,0,5.4,1.8,5.5,1.9,4.7,1.8,4.9,1.8,4.2,1.8,319.5,18.1,316,20.6,318.4,24.5,5.5,4.9
2007-01-01, 21:50,4.6,0,5.9,1.7,6,1.8,5.3,1.6,5.3,1.7,4.8,1.6,330.9,16.6,322.5,17.3,323.8,18.9,6,5.3
2007-01-01, 22:00,4.3,0.1,5.3,1.7,5.3,1.7,4.6,1.7,4.7,1.7,4.1,1.6,321.9,19.7,317.5,19.7,317.5,24.5,5.3,4.7
2007-01-01, 22:10,4.1,0,4.6,1.5,4.8,1.5,4.1,1.5,4.2,1.5,3.7,1.5,320.6,15.9,315.6,18.1,317.5,18.9,4.8,4.2
2007-01-01, 22:20,4,0,4.1,1.1,4.2,1.2,3.3,1.1,3.5,1.1,2.9,1.1,315.4,16.6,309.7,21.5,311.8,24.5,4.2,3.5
2007-01-01, 22:30,3.9,0,5.8,1.6,5.7,1.7,4.5,1.5,4.6,1.5,3.9,1.4,314.8,17.3,309.1,27.9,313.9,34.6,5.8,4.6
2007-01-01, 22:40,3.7,0.1,6.2,1.5,6.1,1.6,5.2,1.5,5.3,1.6,4.5,1.5,310.3,16.6,307.4,21.5,307.2,27.9,6.2,5.3
2007-01-01, 22:50,3.5,0.1,6.4,1.9,6.4,1.9,5.4,1.8,5.5,1.8,4.9,1.7,318.8,18.9,316,20.6,319.9,23.5,6.4,5.5
2007-01-01, 23:00,3.6,0.1,5.5,1.7,5.4,1.9,4.4,1.7,4.5,1.7,3.7,1.6,311.8,18.9,306.4,24.5,307.2,30.4,5.5,4.5
2007-01-01, 23:10,3.5,0,6.5,2.1,6.5,2.1,5.4,1.9,5.5,1.9,4.6,1.7,312.6,19.7,308.2,23.5,306.4,27.9,6.5,5.5
2007-01-01, 23:20,3.4,0,6.8,1.6,6.7,1.6,5.6,1.6,5.7,1.5,4.9,1.4,321.2,15.9,313.7,19.7,314.8,23.5,6.8,5.7
2007-01-01, 23:30,3.3,0,7.6,1.7,7.6,1.9,6.4,1.9,6.5,2,5.5,1.8,315,15.2,307.8,20.6,309.9,26.7,7.6,6.5
2007-01-01, 23:40,3.1,0.1,7,1.8,7,1.9,5.7,1.7,5.8,1.7,5.1,1.6,320.1,15.2,312.6,18.9,318.8,20.6,7,5.8
2007-01-01, 23:50,3.1,0.1,8.1,1.8,8.1,1.8,6.9,1.8,7.1,1.8,6,1.7,320.4,13.9,313.7,18.1,314.3,21.5,8.1,7.1
2007-01-02, 00:00,3,0,7.4,1.7,7.4,1.9,6.2,1.7,6.3,1.8,5.4,1.6,321,14.6,313.3,18.9,315.6,21.5,7.4,6.3
2007-01-02, 00:10,3,0,8.1,1.7,8.1,1.8,6.9,1.8,7.1,1.8,6.1,1.8,317.5,15.9,311.4,18.9,313.5,19.7,8.1,7.1
2007-01-02, 00:20,3,0,8,1.6,7.9,1.6,6.6,1.7,6.7,1.8,5.7,1.7,313.9,13.4,309.7,19.7,308.9,20.6,8,6.7
2007-01-02, 00:30,3,0,7.6,1.9,7.5,1.9,6.4,1.8,6.5,1.9,5.3,1.7,317.5,15.2,312,18.9,312.9,22.5,7.6,6.5
2007-01-02, 00:40,3,0,7.2,1.8,7.3,1.8,5.9,1.8,6.1,1.8,5.3,1.8,313.7,16.6,306.8,19.7,307.6,22.5,7.3,6.1
2007-01-02, 00:50,3,0,6.7,1.7,6.6,1.7,5.6,1.9,5.7,1.9,4.8,1.7,310.7,13.9,305.5,18.9,306.6,23.5,6.7,5.7
2007-01-02, 01:00,3,0,6.5,1.7,6.4,1.8,5.4,1.8,5.4,1.8,4.5,1.5,315,14.6,309.1,19.7,308.4,22.5,6.5,5.4
2007-01-02, 01:10,3,0,6.6,2.4,6.6,2.4,5.6,2.2,5.7,2.3,5,2.1,321,15.9,317.5,17.3,317.8,19.7,6.6,5.7
2007-01-02, 01:20,3.1,0,8.4,2.4,8.3,2.4,7,2.4,7,2.4,6.1,2.4,315.4,16.6,311.6,20.6,310.3,24.5,8.4,7
2007-01-02, 01:30,3.1,0.1,9.5,2.1,9.4,2.2,7.8,2.3,7.8,2.3,6.5,2.2,314.3,14.6,309.1,18.1,310.5,23.5,9.5,7.8
